10 x %!d(MISSING),0.0000114,0.0000031,0.0000031,0.0000030
60 x %!d(MISSING),0.0006200,0.0007330,0.0005721,0.0006762
110 x %!d(MISSING),0.0034352,0.0033155,0.0029539,0.0032847
160 x %!d(MISSING),0.0110340,0.0100810,0.0092305,0.0096578
210 x %!d(MISSING),0.0238074,0.0239882,0.0215892,0.0212492
260 x %!d(MISSING),0.0468812,0.0476035,0.0432677,0.0438025
310 x %!d(MISSING),0.0874287,0.0887321,0.0801357,0.0823830
360 x %!d(MISSING),0.1186567,0.1217485,0.1079573,0.1097041
410 x %!d(MISSING),0.1806878,0.1734200,0.1575164,0.1574819
460 x %!d(MISSING),0.3598906,0.3620684,0.3468474,0.3185474
