11 x %!d(MISSING),0.0000177,0.0000039,0.0000039,0.0000039
61 x %!d(MISSING),0.0007465,0.0006545,0.0004910,0.0005786
111 x %!d(MISSING),0.0035175,0.0036365,0.0031634,0.0033799
161 x %!d(MISSING),0.0109648,0.0111708,0.0092301,0.0093739
211 x %!d(MISSING),0.0250404,0.0241092,0.0220056,0.0216115
261 x %!d(MISSING),0.0486701,0.0475511,0.0424035,0.0424410
311 x %!d(MISSING),0.0930868,0.0968606,0.0927584,0.0930979
361 x %!d(MISSING),0.1224514,0.1239953,0.1050779,0.1066312
411 x %!d(MISSING),0.1836993,0.1798450,0.1635024,0.1646762
461 x %!d(MISSING),0.3590612,0.3638082,0.3241777,0.3346132
