l,,,,,,
10 x 10,0.0000136,0.0000046,0.0000032,0.0000032,0.0012822,0.0024592
60 x 60,0.0015532,0.0005130,0.0004598,0.0004588,0.1342932,0.1240314
110 x 110,0.0088996,0.0032186,0.0031760,0.0028564,0.9753178,0.8676318
160 x 160,0.0136560,0.0102094,0.0090372,0.0093532,7.2003379,6.2366581
210 x 210,0.0363334,0.0223904,0.0202432,0.0314384,7.0362678,6.2163839
260 x 260,0.0433772,0.0679150,0.0389052,0.0386174,39.2253532,35.6911469
310 x 310,0.0974000,0.1092742,0.0978198,0.0988076,39.7415733,36.1835632
360 x 360,0.1376794,0.1306466,0.1113444,0.1105984,39.3739395,35.7239914
410 x 410,0.1801004,0.1845198,0.1632608,0.1742950,38.8734703,35.7225189
460 x 460,0.3638812,0.3688240,0.3200220,0.3442824,38.8343964,35.8125496
